procps-ng 3.3.17-1
progsreiserfs 0.3.0.5-10
proj 8.2.0-1
protobuf 3.19.4-1
psmisc 23.4-1
pugixml 1.12.1-1
pulseaudio 15.0-4
pulseaudio-alsa 1:1.2.6-3
purpose 5.93.0-1
pybind11 2.9.2-1
python 3.10.4-1
python-anyio 3.5.0-1
python-anytree 2.8.0-5
python-appdirs 1.4.4-6
python-argon2-cffi-bindings 21.2.0-2
python-argon2_cffi 21.3.0-1
python-astor 0.8.1-5
python-asttokens 2.0.5-2
python-astunparse 1.6.3-5
python-async_generator 1.10-7
python-attrs 21.4.0-1
python-babel 2.9.1-3
python-backcall 0.2.0-6
python-beaker 1.11.0-8
python-beautifulsoup4 4.10.0-1
python-black 22.3.0-1
python-bleach 4.1.0-3
python-cachecontrol 1:0.12.6-4
python-cachetools 5.0.0-1
python-cairo 1.21.0-1
python-cffi 1.15.0-3
python-cfgv 3.3.1-3
python-chardet 4.0.0-5
python-click 8.1.2-1
python-colorama 0.4.4-6
python-configobj 5.0.6.r110.g3e2f4cc-3
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.2-1
python-dateutil 2.8.2-4
python-debugpy 1.6.0-1
python-decorator 5.1.1-1
python-defusedxml 0.7.1-4
python-deprecation 2.1.0-6
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-distutils-extra 2.39-10
python-dnspython 1:2.2.0-1
python-docopt 0.6.2-11
python-entrypoints 0.4-1
python-executing 0.8.3-1
python-fastjsonschema 2.15.3-1
python-filelock 3.4.2-1
python-flatbuffers 2.0.6-1
python-future 0.18.2-7
python-gast03 0.3.3-3
python-gdal 3.4.0-5
python-gobject 3.42.0-3
python-google-auth 1.34.0-4
python-google-auth-oauthlib 0.5.1-1
python-grpcio 1.45.1-1
python-h5py 3.6.0-3
python-html5lib 1.1-11
python-identify 2.4.12-1
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-ipykernel 6.12.1-1
python-ipywidgets 7.7.0-3
python-jedi 0.18.1-1
python-jinja 1:3.0.3-1
python-json5 0.9.6-3
python-jsonpatch 1.32-3
python-jsonpointer 2.1-3
python-jsonschema 3.2.0-6
python-jupyter_client 7.2.2-1
